年度,校名,系組名,國倍率,英倍率,數A倍率,數B倍率,社會倍率,自然倍率,數甲倍率,物倍率,化倍率,生倍率,歷倍率,地倍率,公倍率,錄取人數,普通生錄取分數
111.0,國立臺灣大學,中國文學系,1.5,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,0.0,24.0,299.75
111.0,國立臺灣大學,外國語文學系,1.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,278.5
111.0,國立臺灣大學,歷史學系,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,27.0,258
111.0,國立臺灣大學,哲學系,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,199
111.0,國立臺灣大學,人類學系,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,285.5
111.0,國立臺灣大學,圖書資訊學系,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,235.25
111.0,國立臺灣大學,日本語文學系,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,311.5
111.0,國立臺灣大學,戲劇學系(男),1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,288
111.0,國立臺灣大學,戲劇學系(女),1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,296
111.0,國立臺灣大學,數學系,0.0,1.0,1.5,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,21.0,235.5
111.0,國立臺灣大學,物理學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,235
111.0,國立臺灣大學,化學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,237
111.0,國立臺灣大學,地質科學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,208
111.0,國立臺灣大學,心理學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,37.0,239
111.0,國立臺灣大學,地理環境資源學系A組,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,118
111.0,國立臺灣大學,地理環境資源學系B組,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.0,6.0,184
111.0,國立臺灣大學,大氣科學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,216
111.0,國立臺灣大學,政治學系政治理論組,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,292.75
111.0,國立臺灣大學,政治學系國際關係組,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,301.75
111.0,國立臺灣大學,政治學系公共行政組,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,293.75
111.0,國立臺灣大學,經濟學系A組,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,214
111.0,國立臺灣大學,經濟學系B組,0.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,216
111.0,國立臺灣大學,社會學系,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,261
111.0,國立臺灣大學,社會工作學系,1.25,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,273
111.0,國立臺灣大學,醫學系(自費),0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,280
111.0,國立臺灣大學,醫學系(公費),0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,256
111.0,國立臺灣大學,牙醫學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,273
111.0,國立臺灣大學,藥學系,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,16.0,330
111.0,國立臺灣大學,醫學檢驗暨生物技術學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,241
111.0,國立臺灣大學,護理學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,224
111.0,國立臺灣大學,物理治療學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,242
111.0,國立臺灣大學,職能治療學系,1.25,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,236.5
111.0,國立臺灣大學,土木工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,219
111.0,國立臺灣大學,機械工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52.0,235
111.0,國立臺灣大學,化學工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,0.0,0.0,0.0,0.0,48.0,264.5
111.0,國立臺灣大學,工程科學及海洋工程學系,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,278
111.0,國立臺灣大學,材料科學與工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,251
111.0,國立臺灣大學,醫學工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,232
111.0,國立臺灣大學,農藝學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,1.25,0.0,0.0,0.0,23.0,230.75
111.0,國立臺灣大學,生物環境系統工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,175
111.0,國立臺灣大學,農業化學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,12.0,266
111.0,國立臺灣大學,森林環境暨資源學系,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,2.0,0.0,0.0,0.0,27.0,195
111.0,國立臺灣大學,動物科學技術學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,205
111.0,國立臺灣大學,農業經濟學系,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,255
111.0,國立臺灣大學,園藝暨景觀學系,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,23.0,239.5
111.0,國立臺灣大學,獸醫學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,253
